date,state,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations_per_million,share_doses_used,fips,deaths,new_cases,total_cases,population
2020-03-06,Florida,,,,,,,,,,,,12,2,3,7,21479100
2020-03-06,Georgia,,,,,,,,,,,,13,0,1,3,10617100
2020-03-06,Hawaii,,,,,,,,,,,,15,0,1,1,1415900
2020-03-06,Illinois,,,,,,,,,,,,17,0,1,6,12672400
2020-03-06,Indiana,,,,,,,,,,,,18,0,1,1,6732700
2020-03-06,Kentucky,,,,,,,,,,,,21,0,1,1,4467400
2020-03-06,Maryland,,,,,,,,,,,,24,0,0,3,6045800
2020-03-06,Massachusetts,,,,,,,,,,,,25,0,5,8,6892900
2020-03-06,Minnesota,,,,,,,,,,,,27,0,1,1,5639900
2020-03-06,Nebraska,,,,,,,,,,,,31,0,1,14,1934500
2020-03-06,Nevada,,,,,,,,,,,,32,0,0,2,3080400
2020-03-06,New Hampshire,,,,,,,,,,,,33,0,0,2,1359700
2020-03-06,New Jersey,,,,,,,,,,,,34,0,2,4,8881900
2020-03-06,New York,,,,,,,,,,,,36,0,22,44,19455200
2020-03-06,North Carolina,,,,,,,,,,,,37,0,1,2,10487000
2020-03-06,Oklahoma,,,,,,,,,,,,40,0,1,1,3956500
2020-03-06,Oregon,,,,,,,,,,,,41,0,0,2,4217500
2020-03-06,Pennsylvania,,,,,,,,,,,,42,0,2,2,12801800
2020-03-06,Rhode Island,,,,,,,,,,,,44,0,1,3,1059300
2020-03-06,South Carolina,,,,,,,,,,,,45,0,2,2,5148600
2020-03-06,Tennessee,,,,,,,,,,,,47,0,0,1,6830000
2020-03-06,Texas,,,,,,,,,,,,48,0,3,19,28997300
2020-03-06,Utah,,,,,,,,,,,,49,0,2,3,3206300
2020-03-06,Washington,,,,,,,,,,,,53,12,11,86,7614800
2020-03-06,Wisconsin,,,,,,,,,,,,55,0,0,1,5822500
2020-03-07,Arizona,,,,,,,,,,,,4,0,2,5,7277900
2020-03-07,California,,,,,,,,,,,,6,1,19,100,39513700
2020-03-07,Colorado,,,,,,,,,,,,8,0,0,8,5758500
2020-03-07,District of Columbia,,,,,,,,,,,,11,0,1,1,705700
2020-03-07,Florida,,,,,,,,,,,,12,2,5,12,21479100
2020-03-07,Georgia,,,,,,,,,,,,13,0,4,7,10617100
2020-03-07,Hawaii,,,,,,,,,,,,15,0,0,1,1415900
2020-03-07,Illinois,,,,,,,,,,,,17,0,0,6,12672400
2020-03-07,Indiana,,,,,,,,,,,,18,0,0,1,6732700
2020-03-07,Kansas,,,,,,,,,,,,20,0,1,1,2913000
2020-03-07,Kentucky,,,,,,,,,,,,21,0,0,1,4467400
2020-03-07,Maryland,,,,,,,,,,,,24,0,0,3,6045800
2020-03-07,Massachusetts,,,,,,,,,,,,25,0,5,13,6892900
2020-03-07,Minnesota,,,,,,,,,,,,27,0,0,1,5639900
2020-03-07,Missouri,,,,,,,,,,,,29,0,1,1,6137400
2020-03-07,Nebraska,,,,,,,,,,,,31,0,0,14,1934500
2020-03-07,Nevada,,,,,,,,,,,,32,0,0,2,3080400
2020-03-07,New Hampshire,,,,,,,,,,,,33,0,2,4,1359700
2020-03-07,New Jersey,,,,,,,,,,,,34,0,0,4,8881900
2020-03-07,New York,,,,,,,,,,,,36,0,45,89,19455200
2020-03-07,North Carolina,,,,,,,,,,,,37,0,0,2,10487000
2020-03-07,Oklahoma,,,,,,,,,,,,40,0,0,1,3956500
2020-03-07,Oregon,,,,,,,,,,,,41,0,4,6,4217500
2020-03-07,Pennsylvania,,,,,,,,,,,,42,0,2,4,12801800
2020-03-07,Rhode Island,,,,,,,,,,,,44,0,0,3,1059300
2020-03-07,South Carolina,,,,,,,,,,,,45,0,0,2,5148600
2020-03-07,Tennessee,,,,,,,,,,,,47,0,0,1,6830000
2020-03-07,Texas,,,,,,,,,,,,48,0,0,19,28997300
2020-03-07,Utah,,,,,,,,,,,,49,0,0,3,3206300
2020-03-07,Vermont,,,,,,,,,,,,50,0,1,1,623900
